Codigo,Descricao,Data_Inicio,Data_Fim,Tipo_Ato_Ini,Numero_Ato_Ini,Ano_Ato_Ini
02071220,Sem miudezas,01/04/2023,31/12/9999,Res Camex,440,2022
02071300,"-- Pedaços e miudezas, frescos ou refrigerados",01/04/2022,31/12/9999,Res Camex,272,2021
020714,"-- Pedaços e miudezas, congelados",01/08/2024,31/12/9999,Res Camex,547,2023
0207141,Pedaços não desossados,01/08/2024,31/12/9999,Res Camex,547,2023
02071411,Peitos,01/08/2024,31/12/9999,Res Camex,547,2023
02071412,Coxas com sobrecoxas,01/08/2024,31/12/9999,Res Camex,547,2023
02071413,Asas,01/08/2024,31/12/9999,Res Camex,547,2023
02071419,Outros,01/08/2024,31/12/9999,Res Camex,547,2023
0207142,Pedaços desossados,01/08/2024,31/12/9999,Res Camex,547,2023
02071421,"Peitos, coxas e sobrecoxas, formando uma só peça",01/08/2024,31/12/9999,Res Camex,547,2023
02071422,Peitos,01/08/2024,31/12/9999,Res Camex,547,2023
02071423,Coxas com sobrecoxas,01/08/2024,31/12/9999,Res Camex,547,2023
02071424,Carne mecanicamente separada,01/08/2024,31/12/9999,Res Camex,547,2023
02071429,Outros,01/08/2024,31/12/9999,Res Camex,547,2023
0207143,Miudezas,01/08/2024,31/12/9999,Res Camex,547,2023
02071431,Fígados,01/08/2024,31/12/9999,Res Camex,547,2023
02071432,Moelas,01/08/2024,31/12/9999,Res Camex,547,2023
02071433,Corações,01/08/2024,31/12/9999,Res Camex,547,2023
02071434,Pés e patas,01/08/2024,31/12/9999,Res Camex,547,2023
02071439,Outras,01/08/2024,31/12/9999,Res Camex,547,2023
02072,- De peruas e de perus:,01/04/2022,31/12/9999,Res Camex,272,2021
02072400,"-- Não cortadas em pedaços, frescas ou refrigeradas",01/04/2022,31/12/9999,Res Camex,272,2021
02072500,"-- Não cortadas em pedaços, congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
02072600,"-- Pedaços e miudezas, frescos ou refrigerados",01/04/2022,31/12/9999,Res Camex,272,2021
02072700,"-- Pedaços e miudezas, congelados",01/04/2022,31/12/9999,Res Camex,272,2021
02074,- De patos:,01/04/2022,31/12/9999,Res Camex,272,2021
02074100,"-- Não cortadas em pedaços, frescas ou refrigeradas",01/04/2022,31/12/9999,Res Camex,272,2021
02074200,"-- Não cortadas em pedaços, congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
02074300,"-- Fígados gordos (<i>foies gras</i>), frescos ou refrigerados",01/04/2022,31/12/9999,Res Camex,272,2021
02074400,"-- Outras, frescas ou refrigeradas",01/04/2022,31/12/9999,Res Camex,272,2021
02074500,"-- Outras, congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
02075,- De gansos:,01/04/2022,31/12/9999,Res Camex,272,2021
02075100,"-- Não cortadas em pedaços, frescas ou refrigeradas",01/04/2022,31/12/9999,Res Camex,272,2021
02075200,"-- Não cortadas em pedaços, congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
02075300,"-- Fígados gordos (<i>foies gras</i>), frescos ou refrigerados",01/04/2022,31/12/9999,Res Camex,272,2021
02075400,"-- Outras, frescas ou refrigeradas",01/04/2022,31/12/9999,Res Camex,272,2021
02075500,"-- Outras, congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
02076000,- De galinhas-d'angola (pintadas),01/04/2022,31/12/9999,Res Camex,272,2021
0208,"Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas",01/04/2022,31/12/9999,Res Camex,272,2021
02081000,- De coelhos ou lebres,01/04/2022,31/12/9999,Res Camex,272,2021
02083000,- De primatas,01/04/2022,31/12/9999,Res Camex,272,2021
02084000,"- De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)",01/04/2022,31/12/9999,Res Camex,272,2021
02085000,- De répteis (incluindo as serpentes e as tartarugas marinhas),01/04/2022,31/12/9999,Res Camex,272,2021
02086000,- De camelos e outros camelídeos (<i>Camelidae</i>),01/04/2022,31/12/9999,Res Camex,272,2021
02089000,- Outras,01/04/2022,31/12/9999,Res Camex,272,2021
0209,"Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados)",01/04/2022,31/12/9999,Res Camex,272,2021
020910,- De porco,01/04/2022,31/12/9999,Res Camex,272,2021
0209101,Toucinho,01/04/2022,31/12/9999,Res Camex,272,2021
02091011,"Fresco, refrigerado ou congelado",01/04/2022,31/12/9999,Res Camex,272,2021
02091019,Outros,01/04/2022,31/12/9999,Res Camex,272,2021
0209102,Gordura,01/04/2022,31/12/9999,Res Camex,272,2021
02091021,"Fresca, refrigerada ou congelada",01/04/2022,31/12/9999,Res Camex,272,2021
02091029,Outras,01/04/2022,31/12/9999,Res Camex,272,2021
02099000,- Outros,01/04/2022,31/12/9999,Res Camex,272,2021
